skills,qualification,experience_years,education_level,language,certification,soft_skills,job_role,source
"Python, Computer Vision, OpenCV, PyTorch, TensorFlow, Deep Learning, Object Detection, Action Recognition, Docker, REST API",ML Engineer / CV Engineer,2,Unknown,Russian,,"Analytical Thinking, Problem Solving, Attention to Detail, Adaptability",Machine Learning Engineer,current_custom_dataset
"azure, testing",DevOps Engineer at Harvey Nash,2,Unknown,English,,"Communication, Problem Solving",DevOps Engineer,adzuna_api
"Python, Power Automate, RPA, REST API, TensorFlow, System Integration, SQL, Automation Tools",AI Engineer,2,Bachelor,English,,"Problem Solving, Analytical Thinking, Communication, Adaptability",Machine Learning Engineer,current_custom_dataset
"Mobile UI, Web development, Automation Testing, Python, API Testing",QA internship,2,Bachelor,Turkish,ISTQB Foundation,"Teamwork, Adaptability",QA Engineer,current_custom_dataset
"Scikit-learn, Python, Jupyter, Tableau, Machine Learning, Bug Reporting, SQL, Statistics",Web development project,3,Bachelor,German,Cisco CCNA,"Adaptability, Self Learning",Data Analyst,current_custom_dataset
"Python, SQL, Machine Learning, Statistics, ETL, Oracle, Qlik Sense, Data Analysis, Forecasting",Middle Data Scientist,4,Bachelor,Russian,,"Analytical Thinking, Problem Solving, Communication, Attention to Detail",Machine Learning Engineer,current_custom_dataset
"Tableau, Python, Terraform, Linux, Bash, Docker",Cloud project,0,Bootcamp,Kazakh,ISTQB Foundation,"Critical Thinking, Attention to Detail, Time Management",DevOps Engineer,current_custom_dataset
"CI/CD, GitHub Actions, Terraform, Redis, PostgreSQL, TypeScript, Cloud project, Networking",Network administration,3,College,English,Google Data Analytics,"Problem Solving, Communication, Critical Thinking",DevOps Engineer,current_custom_dataset
"Bug Reporting, Postman, Python, Web development, Figma",API testing project,1,Bachelor,Kazakh,Meta Frontend,"Problem Solving, Teamwork, Leadership",QA Engineer,current_custom_dataset
"Manual Testing, API Testing (Postman, Swagger), SQL, Jira, TestRail, Allure, ELK, HTTP/HTTPS, Charles, Fiddler",QA Engineer,2,Bachelor,Russian,none,"Attention to Detail, Analytical Thinking, Communication, Problem Solving",QA Engineer,current_custom_dataset
"Javascript, React, Vue.js, HTML/CSS, Git, API, Vite, Webpack",Front-end Developer,2,Bachelor,Russian,,"Teamwork, Problem Solving, Attention to Detail",Frontend Developer,current_custom_dataset
Unknown,Senior Mobile Developer at ByteHire,4,Unknown,English,,"Communication, Problem Solving",Mobile Developer,adzuna_api
"React, Firebase, Responsive Design, Vite, Tailwind CSS, REST API, Figma, CSS, Cloud project, Postman",Computer Science degree,3,Master,German,ISTQB Foundation,"Creativity, Adaptability, Time Management, Communication",Frontend Developer,current_custom_dataset
react,Senior Frontend Developer at NearTech Search,4,Unknown,English,,Teamwork,Frontend Developer,adzuna_api
"React, JavaScript, TypeScript, HTML, CSS, REST API, UI Development, Git, Data Visualization, ESLint",Middle Frontend Developer (React),2,Bachelor,Russian,,"Teamwork, Communication, Creativity, Problem Solving",Frontend Developer,current_custom_dataset
"Kubernetes, Docker, CI/CD, Linux, PostgreSQL, Nginx, Monitoring, Networking",DevOps Team Lead,4,Unknown,Russian,,"Leadership, Problem Solving, Responsibility, Communication",DevOps Engineer,current_custom_dataset
"React, TypeScript, UI Kit, Component Architecture, JavaScript, ESLint, Prettier, Data Visualization",Middle Frontend Developer,2,Bachelor,English,none,"Teamwork, Communication, Creativity, Problem Solving",Frontend Developer,current_custom_dataset
"Model Evaluation, Feature Engineering, TensorFlow, AWS, ML Pipelines, REST API",Machine learning projects,0,Bootcamp,Turkish,Google Data Analytics,"Communication, Creativity, Self Learning, Time Management",Machine Learning Engineer,current_custom_dataset
machine learning,Senior Machine Learning Engineer at SR2 | Socially Responsible Recruitment | Certified B Corporation™,4,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"Feature Engineering, GitHub Actions, Cloud project, Monitoring, Kotlin, Terraform, Linux, Jira",Linux administration,0,Bachelor,German,AWS Cloud Practitioner,"Problem Solving, Time Management, Creativity",DevOps Engineer,current_custom_dataset
"API development, Python, Cloud project, Nginx, Redis, Monitoring, CI/CD, Bash, System administration, AWS",Linux administration,1,Bachelor,Kazakh,,"Attention to Detail, Critical Thinking, Communication, Teamwork",DevOps Engineer,current_custom_dataset
"Mobile Testing, Selenium, Git, Docker, Java, REST API, JavaScript, API development, Postman, Bug Reporting, Jira",Bug tracking experience,2,Certification,Russian,AWS Cloud Practitioner,"Adaptability, Creativity",QA Engineer,current_custom_dataset
"SQL, UI Design, React, Mobile UI, Android, Vite, Git, Risk Assessment, API development, REST API",Firebase project,1,Bachelor,Kazakh,Kubernetes Basics,"Problem Solving, Time Management, Leadership",Mobile Developer,current_custom_dataset
"Monitoring, Firewalls, Node.js, Incident Response, Wireshark, SIEM, Networking, CCNA",Linux administration,2,Certification,Russian,ISTQB Foundation,"Critical Thinking, Creativity",Cybersecurity Analyst,current_custom_dataset
"Postman, Security Monitoring, Incident Response, Spring Boot, Docker, Redis, React, HTML, AWS, Git",Backend internship,4,Bootcamp,German,Meta Frontend,"Leadership, Communication",Backend Developer,current_custom_dataset
qa,Senior Backend Developer at TripleTen,4,Unknown,English,,"Communication, Problem Solving",Backend Developer,adzuna_api
"Nginx, Linux, Kubernetes, Docker, System administration, Redis, Hibernate, Python",Bug tracking experience,2,Bachelor,Turkish,TensorFlow Developer,"Self Learning, Attention to Detail",DevOps Engineer,current_custom_dataset
"Java, State Management, SQL, REST API, Kotlin, UI Design, React, Dart, Flutter",Computer Science degree,0,Bachelor,Kazakh,Meta Frontend,"Self Learning, Attention to Detail, Problem Solving",Mobile Developer,current_custom_dataset
"REST API, Python, Kubernetes, Docker, CSS, Git",Computer Science degree,0,College,Kazakh,TensorFlow Developer,"Critical Thinking, Adaptability, Attention to Detail, Teamwork",Backend Developer,current_custom_dataset
Unknown,Mobile App Developer at Brunning & Price,2,Unknown,English,,Teamwork,Mobile Developer,adzuna_api
Unknown,Senior Data Analyst at Talent Finder,4,Unknown,English,,Teamwork,Data Analyst,adzuna_api
"Python, SQL, Machine Learning, pandas, numpy, scikit-learn, A/B Testing, Recommendation Systems, Docker, Git",ML Engineer,2,Unknown,Russian,,"Analytical Thinking, Problem Solving, Communication, Attention to Detail",Machine Learning Engineer,current_custom_dataset
"SQL (Expert), Python, Product Analytics, A/B Testing, Data Strategy, Data Modeling, BI Tools (Tableau, Amplitude, Metabase), Unit Economics, Metrics Design",Data Analyst,7,Bachelor,English,,"Leadership, Strategic Thinking, Decision Making, Mentoring, Stakeholder Management",Data Analyst,current_custom_dataset
"azure, cybersecurity, networking, security, siem",Trainee Junior Product Cybersecurity Analyst (IoT) at Newto Training,1,Unknown,English,Cisco CCNA,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
"HTML, CSS, JavaScript, Responsive Design, Figma, CMS, WordPress, Tilda, Google Analytics, A/B Testing",Junior Frontend Developer ,0,Unknown,Russian,,"Adaptability, Communication, Time Management, Self Learning",Frontend Developer,current_custom_dataset
"Node.js, TypeScript, REST API, PostgreSQL, Redis, RabbitMQ, Git, Microservices",Backend Developer,2,Bachelor,Russian,,"Teamwork, Problem Solving, Analytical Thinking",Backend Developer,current_custom_dataset
"Java, Spring Boot, REST API, PostgreSQL, MongoDB, Redis, Kafka, Docker, Kubernetes, Microservices",Senior Java Backend Developer,4,Unknown,Russian,,"Leadership, Analytical Thinking, Problem Solving, Teamwork",Backend Developer,current_custom_dataset
aws,Backend Developer at Spectrum IT Recruitment,2,Unknown,English,AWS Cloud Practitioner,Teamwork,Backend Developer,adzuna_api
"android, ios",Software Developer – Mobile (iOS / Android) at AWD online,2,Unknown,English,,Teamwork,Mobile Developer,adzuna_api
"Python, PyTorch, LLM, RAG, LangChain, FastAPI, Docker, Kubernetes, Vector Databases, CI/CD",AI Engineer,4,Unknown,English,,"Analytical Thinking, Problem Solving, Communication, Adaptability",Machine Learning Engineer,current_custom_dataset
"python, qa",Junior Automation QA Engineer at Morgan McKinley,1,Unknown,English,,Teamwork,QA Engineer,adzuna_api
react,Mobile Developer - React Native (100% Remote Worldwide) at Bitfinex,2,Unknown,English,,"Communication, Problem Solving",Mobile Developer,adzuna_api
security,Frontend Developer at Accenture,5,Unknown,English,,"Communication, Problem Solving",Frontend Developer,adzuna_api
"Docker, Kubernetes (RKE/OpenShift), Helm, Terraform, Ansible, GitLab CI/CD, ArgoCD, Nexus, Vault, Kafka, RabbitMQ, PostgreSQL, MongoDB, Linux, Monitoring (Prometheus, Grafana, ELK, Zabbix), Networking (OSI, TCP/IP), VMware",DevOps Engineer,3,Bachelor,Russian,,"Problem Solving, Analytical Thinking, Communication, Responsibility",DevOps Engineer,current_custom_dataset
"Kotlin, Android SDK, Jetpack Compose, ViewModel, Room, Navigation Component, Hilt, REST API, Git, CI/CD",Middle Android Developer,2,Unknown,Russian,,"Leadership, Analytical Thinking, Problem Solving, Teamwork",Mobile Developer,current_custom_dataset
"Kubernetes, Redis, Android, Testing, Nginx",Network administration,5,Bootcamp,Turkish,ISTQB Foundation,"Critical Thinking, Self Learning, Adaptability, Attention to Detail",DevOps Engineer,current_custom_dataset
"Bash, React, Git, Postman, CSS, REST API, JavaScript",Portfolio projects,1,College,Russian,Meta Frontend,"Leadership, Communication, Attention to Detail, Problem Solving",Frontend Developer,current_custom_dataset
"Python, SQL, Machine Learning, MLOps, MLflow, Feature Store, FastAPI, REST API, Docker, Kubernetes",Senior Machine Learning Engineer,4,Unknown,Russian,,"Leadership, Analytical Thinking, Problem Solving, Communication",Machine Learning Engineer,current_custom_dataset
"Feature Engineering, Linux, SQL, Jupyter, Nginx, Python",Kaggle experience,0,Bachelor,Russian,Kubernetes Basics,"Adaptability, Time Management, Self Learning, Problem Solving",Machine Learning Engineer,current_custom_dataset
react,React Frontend Developer at Hunter Bond,2,Unknown,English,,Teamwork,Frontend Developer,adzuna_api
"Linux, Docker, Kubernetes, Kafka, CI/CD, Airflow, Nginx, Terraform, Python",DevOps Engineer,4,Unknown,English,none,"Problem Solving, Analytical Thinking, Responsibility, Communication",DevOps Engineer,current_custom_dataset
"UI Design, API development, Android, Mobile UI, NumPy, React, Git, Flutter, Dart",Mobile app project,2,Bachelor,Kazakh,,"Time Management, Leadership, Creativity",Mobile Developer,current_custom_dataset
"Terraform, AWS, Spring Boot, Docker, Java, Python, Monitoring, TensorFlow",Network administration,1,Bachelor,Turkish,ISTQB Foundation,"Attention to Detail, Leadership, Creativity, Critical Thinking",DevOps Engineer,current_custom_dataset
"Testing, Firebase, State Management, Linux, Android",Computer Science degree,2,Bachelor,Kazakh,TensorFlow Developer,"Creativity, Self Learning, Adaptability, Problem Solving",Mobile Developer,current_custom_dataset
"Visualization, Firebase, Manual Testing, A/B Testing, Tableau, Machine Learning, Dashboards, JavaScript, Python, Business reporting",Research project,0,Bachelor,Kazakh,Cisco CCNA,"Teamwork, Critical Thinking, Leadership",Data Analyst,current_custom_dataset
"State Management, Redis, Microservices, Manual Testing, Postman, REST API, React, Nginx, Android",Computer Science degree,1,College,Turkish,Meta Frontend,"Creativity, Teamwork, Communication, Problem Solving",Backend Developer,current_custom_dataset
"Node.js, React, Shopify API, GraphQL, OAuth 2.0, Webhooks, REST API, AWS, Git",Shopify App Developer,4,Unknown,English,AWS,"Problem Solving, Analytical Thinking, Self Learning, Communication",Backend Developer,current_custom_dataset
"Docker, Python, Model Evaluation, API development, SQLite, NumPy, Bash, Dart",Computer Science degree,0,Master,Turkish,Oracle Java,"Teamwork, Creativity, Adaptability",Machine Learning Engineer,current_custom_dataset
"Azure, Kubernetes, Docker, Terraform, CI/CD, Bitbucket, PowerShell, Bash, Python, Ansible, Monitoring (Prometheus, Grafana)",Junior DevOps Engineer,1,Bachelor,English,none,"Communication, Problem Solving, Learning Ability, Teamwork",DevOps Engineer,current_custom_dataset
"NumPy, Business reporting, SQL, Pandas, HTML, Feature Engineering, Vite, Statistics, Machine Learning",Firebase project,3,Bachelor,Turkish,Google Data Analytics,"Time Management, Communication, Creativity, Critical Thinking",Data Analyst,current_custom_dataset
machine learning,Bio Machine Learning Engineer at SR2 | Socially Responsible Recruitment | Certified B Corporation™,2,Unknown,English,,Teamwork,Machine Learning Engineer,adzuna_api
"TypeScript, Testing, Figma, Vite, JavaScript, Postman, UI Design, CSS, Firebase, Test Cases",Firebase project,1,Master,Kazakh,TensorFlow Developer,"Attention to Detail, Time Management, Self Learning, Problem Solving",Frontend Developer,current_custom_dataset
"Kubernetes, Docker, CI/CD, GitLab CI, Terraform, Ansible, AWS, Yandex Cloud, Linux, Networking, Prometheus, Grafana, ELK, Python, Bash",Senior DevOps Engineer,4,Bachelor,Russian,Optional (AWS/Kubernetes),"Problem Solving, Leadership, Communication, Analytical Thinking, Responsibility",DevOps Engineer,current_custom_dataset
"JavaScript, React, Vue.js, HTML, CSS, REST API, Git, Webpack, Vite, Performance Optimization",Front-end Developer,2,Unknown,Russian,,"Teamwork, Communication, Problem Solving, Attention to Detail",Frontend Developer,current_custom_dataset
"Automation Testing, ML Pipelines, REST API, Git, Java, Test Cases, Kotlin, UI Design",Software testing course,2,College,Russian,Google Data Analytics,"Creativity, Adaptability, Self Learning, Attention to Detail",QA Engineer,current_custom_dataset
Unknown,Data Analyst at S. Norton & Co Ltd,2,Unknown,English,,"Communication, Problem Solving",Data Analyst,adzuna_api
"Git, Vite, Node.js, JavaScript, Machine Learning, Linux, CSS, Incident Response",Portfolio projects,2,Master,Turkish,ISTQB Foundation,"Creativity, Time Management, Teamwork, Self Learning",Frontend Developer,current_custom_dataset
"SQL, Python (pandas, numpy), Data Analysis, Data Visualization (Power BI, Tableau), Statistics, Predictive Analytics, Business Analysis",Data Analyst,0,Bachelor,English,,"Analytical Thinking, Communication, Attention to Detail, Problem Solving",Data Analyst,current_custom_dataset
"Model Evaluation, Statistics, API Testing, SQL, Python",Data analysis projects,1,Bootcamp,English,ISTQB Foundation,"Time Management, Communication",Machine Learning Engineer,current_custom_dataset
machine learning,Machine Learning Engineer at Sanderson,2,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"ci/cd, java, qa, selenium",Senior QA Engineer at Harvey Nash,4,Unknown,English,,"Communication, Problem Solving",QA Engineer,adzuna_api
"Spring Boot, API Testing, Python, SQL, Git",Web development project,4,Master,Russian,Oracle Java,"Critical Thinking, Adaptability",Backend Developer,current_custom_dataset
machine learning,Frontend Developer at Ibex.ai,2,Unknown,English,,"Communication, Problem Solving",Frontend Developer,adzuna_api
security,Threat Detection Engineer - Hybrid / Remote at Additional Resources Ltd,2,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
Unknown,Data Analyst at Tenth Revolution Group,1,Unknown,English,,Teamwork,Data Analyst,adzuna_api
"React, Next.js, TypeScript, JavaScript, WebSockets, SSE, Microfrontends, CI/CD, Performance Optimization, UI Development",Senior Frontend Developer,4,Unknown,Russian,,"Leadership, Communication, Analytical Thinking, Problem Solving",Frontend Developer,current_custom_dataset
"API Testing, SQL, Mobile Testing, Python, Jira, Jupyter, Web development, Manual Testing, Selenium",Testing project,2,College,Turkish,Kubernetes Basics,"Problem Solving, Attention to Detail",QA Engineer,current_custom_dataset
"UI Design, Web development, Java, Risk Assessment, Python, Bug Reporting, Postman, Test Cases",API testing project,1,Bachelor,Kazakh,Oracle Java,"Leadership, Attention to Detail, Adaptability",QA Engineer,current_custom_dataset
"CI/CD, State Management, Hibernate, Testing, PostgreSQL, CSS, REST API, Microservices, Spring Boot, AWS",Computer Science degree,2,Master,English,Oracle Java,"Time Management, Self Learning, Attention to Detail",Backend Developer,current_custom_dataset
"Web development, Python, Bash, CI/CD, Nginx, AWS, Mobile UI, Docker",Network administration,2,Bachelor,Russian,Oracle Java,"Teamwork, Time Management",DevOps Engineer,current_custom_dataset
"qa, testing",QA/Test Engineer at IT Search & Select,2,Unknown,English,,Teamwork,QA Engineer,adzuna_api
"TypeScript, SQL, ML Pipelines, CSS, iOS, Node.js, Responsive Design",Frontend internship,2,Master,English,AWS Cloud Practitioner,"Attention to Detail, Leadership",Frontend Developer,current_custom_dataset
"Regression Testing, Git, SQL, API Testing, Jira, System administration, ML Pipelines",Computer Science degree,0,Bachelor,Kazakh,Meta Frontend,"Leadership, Creativity, Critical Thinking, Attention to Detail",QA Engineer,current_custom_dataset
"Pandas, Cloud project, Git, Wireshark, Feature Engineering, Model Evaluation",AI course,2,College,Kazakh,ISTQB Foundation,"Time Management, Attention to Detail, Adaptability",Machine Learning Engineer,current_custom_dataset
"Security Monitoring, System administration, Docker, Risk Assessment, PostgreSQL, SIEM, CCNA, Bash, Firewalls",Web development,0,Bachelor,Kazakh,,"Communication, Attention to Detail",Cybersecurity Analyst,current_custom_dataset
Unknown,DevOps Engineer at Ronald James,2,Unknown,English,,Teamwork,DevOps Engineer,adzuna_api
"Angular, JavaScript, TypeScript, HTML, CSS, REST API, Unit Testing, Git, Webpack, CI/CD",Front-end Developer (Angular),4,Unknown,English,,"Teamwork, Communication, Problem Solving, Attention to Detail",Frontend Developer,current_custom_dataset
"PHP, Laravel, MySQL, REST API, Docker, CI/CD, Git",Backend Developer,5,Unknown,English,none,"Leadership, Communication, Problem Solving, Responsibility",Backend Developer,current_custom_dataset
"Python, Data Cleaning, Pandas, GitHub Actions, Scikit-learn, TensorFlow",Machine learning projects,5,Bachelor,English,Meta Frontend,"Attention to Detail, Problem Solving, Self Learning",Machine Learning Engineer,current_custom_dataset
Unknown,Finance Data Analyst at Hays,2,Unknown,English,,Teamwork,Data Analyst,adzuna_api
"Linux, TensorFlow, SQL, Scikit-learn, Wireshark, Pandas, Risk Assessment, Python, Model Evaluation, Data Cleaning",Kaggle experience,1,Master,English,Oracle Java,"Critical Thinking, Attention to Detail, Teamwork",Machine Learning Engineer,current_custom_dataset
"SQL (Advanced), Data Modeling, Marketing Analytics, Attribution Modeling, Power BI (DAX), BigQuery, API Integration, ETL, Funnel Analysis, Data Cleaning, CRM Analytics (Bitrix24), Conversion Tracking",Data Analyst,2,Bachelor,English,,"Analytical Thinking, Ownership, Problem Solving, Communication, Decision Making",Data Analyst,current_custom_dataset
"Incident Response, Jupyter, Dashboards, Jira, SQL, NumPy, Python, Business reporting, Scikit-learn, Hibernate",Linux administration,4,Bachelor,English,Cisco CCNA,"Problem Solving, Adaptability, Self Learning",Data Analyst,current_custom_dataset
"aws, security",Backend Software Developer - AWS at Ocho,2,Unknown,English,AWS Cloud Practitioner,"Teamwork, Problem Solving",Backend Developer,adzuna_api
"azure, testing",DevOps Engineer at VIQU IT Recruitment,2,Unknown,English,,"Communication, Problem Solving",DevOps Engineer,adzuna_api
"Python, Test Automation, REST API, Playwright, CI/CD, SQL, Kafka",Automation QA Engineer,4,Unknown,English,none,"Analytical Thinking, Problem Solving, Communication, Attention to Detail",QA Engineer,current_custom_dataset
Unknown,Senior Frontend Developer at Harnham - Data & Analytics Recruitment,4,Unknown,English,,"Communication, Problem Solving",Frontend Developer,adzuna_api
"Git, Hibernate, Regression Testing, Selenium, Java, HTML, CI/CD",Web development,0,Master,German,Oracle Java,"Self Learning, Leadership, Critical Thinking",Backend Developer,current_custom_dataset
"CCNA, Firewalls, Linux, Docker, Terraform, Figma, Networking, AWS",Deployment experience,1,Certification,German,ISTQB Foundation,"Creativity, Attention to Detail, Adaptability, Communication",DevOps Engineer,current_custom_dataset
"Power BI, Scikit-learn, Manual Testing, Python, Dashboards, Incident Response, Pandas, PostgreSQL, Visualization, A/B Testing",Business reporting,4,Bootcamp,Turkish,Meta Frontend,"Attention to Detail, Communication, Teamwork",Data Analyst,current_custom_dataset
"android, ios, react",Senior Mobile Developer at Unknown,4,Unknown,English,,Problem Solving,Mobile Developer,adzuna_api
"Machine Learning, A/B Testing, Power BI, Business reporting, Visualization, Bug Reporting, Android, Excel, Python, Pandas",Statistics course,0,Master,English,ISTQB Foundation,"Teamwork, Creativity, Adaptability",Data Analyst,current_custom_dataset
cybersecurity,Cybersecurity - Consulting Analyst at Wavestone,2,Unknown,English,,"Communication, Problem Solving",Cybersecurity Analyst,adzuna_api
"Mobile Testing, Regression Testing, Bug Reporting, Bash, Postman, Risk Assessment, API Testing, SQL, Git",Testing project,1,College,Turkish,Cisco CCNA,"Self Learning, Creativity, Adaptability, Problem Solving",QA Engineer,current_custom_dataset
machine learning,Machine Learning Engineer (MLE) at Kingsgate Recruitment Ltd,2,Unknown,English,,"Communication, Problem Solving",Machine Learning Engineer,adzuna_api
"Python, LLM, RAG, LangChain, Vector Databases, SQL, FastAPI, Docker, MLOps, NLP",Senior ML Engineer (LLM / RAG),4,Unknown,English,,"Analytical Thinking, Problem Solving, Communication, Adaptability",Machine Learning Engineer,current_custom_dataset
"Spring Boot, CCNA, Redis, Kotlin, Python, Docker, REST API",Excel certification,4,Bachelor,English,Kubernetes Basics,"Communication, Time Management, Creativity",Backend Developer,current_custom_dataset
"monitoring, qa, testing",Senior Software QA Engineer at Engineered Arts,4,Unknown,English,,Teamwork,QA Engineer,adzuna_api
"Linux, Python, SIEM, SQLite, Hibernate, Cloud security, Wireshark",Deployment experience,1,Bootcamp,Kazakh,ISTQB Foundation,"Communication, Critical Thinking",Cybersecurity Analyst,current_custom_dataset
"Mobile Testing, Java, A/B Testing, Automation Testing, Test Cases, Manual Testing, Postman",QA internship,1,Bachelor,Kazakh,ISTQB Foundation,"Attention to Detail, Creativity",QA Engineer,current_custom_dataset
"Hibernate, Docker, Kotlin, REST API, Tableau, iOS, Linux",Web development project,1,Bootcamp,Kazakh,Google Data Analytics,"Teamwork, Problem Solving, Creativity",Backend Developer,current_custom_dataset
"iOS, Figma, Android, Testing, REST API, Java, UI Design, Tailwind CSS, API development",Mobile internship,1,Bootcamp,English,,"Communication, Leadership",Mobile Developer,current_custom_dataset
"KYC/AML, Fraud Detection, Transaction Monitoring, Risk Analysis, Security Compliance, PCI DSS, ISO 27001, Anti-Fraud Systems, Reporting & Analytics, User Verification Systems",Security Manager (Compliance),2,Bachelor,English,,"Analytical Thinking, Attention to Detail, Communication, Responsibility",Cybersecurity Analyst,current_custom_dataset
Unknown,DevOps Engineer at TXP Technology x People,4,Unknown,English,,"Communication, Problem Solving",DevOps Engineer,adzuna_api
"TypeScript, Linux, Node.js, Git, React, Testing, JavaScript",QA internship,0,Bachelor,Kazakh,Google Data Analytics,"Time Management, Attention to Detail",Frontend Developer,current_custom_dataset
